date,BIST100,USD_TRY,advancing_stocks,declining_stocks,CPI,CBRT_Rate,5Y_CDS_Spread
2014-08-26,807.5387573242188,2.178679943084717,7,1,9.32,8.25,181.12
2014-08-27,804.6697387695312,2.1648199558258057,3,6,9.32,8.25,177.71
2014-08-28,808.3727416992188,2.1533799171447754,5,4,9.32,8.25,182.38
2014-08-29,803.124755859375,2.157180070877075,1,9,9.32,8.25,178.14
2014-09-01,808.2427368164062,2.1602799892425537,8,1,9.54,8.25,178.34
2014-09-02,807.095703125,2.158560037612915,3,6,9.54,8.25,179.31
2014-09-03,812.919677734375,2.1727399826049805,9,1,9.54,8.25,172.2
2014-09-04,822.2556762695312,2.15775990486145,8,2,9.54,8.25,172.63
2014-09-05,821.9266967773438,2.1628201007843018,6,3,9.54,8.25,172.2
2014-09-08,821.9906616210938,2.157560110092163,5,5,9.54,8.25,170.24
2014-09-09,800.7977294921875,2.172450065612793,0,10,9.54,8.25,174.42
2014-09-10,795.5017700195312,2.1960299015045166,3,7,9.54,8.25,176.13
2014-09-11,789.6597900390625,2.1923699378967285,2,7,9.54,8.25,176.73
2014-09-12,778.203857421875,2.1986000537872314,1,9,9.54,8.25,182.04
2014-09-15,779.1768798828125,2.2203500270843506,6,4,9.54,8.25,184.78
2014-09-16,786.3418579101562,2.2127699851989746,5,4,9.54,8.25,184.82
2014-09-17,789.6768188476562,2.2031800746917725,8,2,9.54,8.25,183.82
2014-09-18,774.9598999023438,2.225059986114502,1,8,9.54,8.25,184.29
2014-09-19,769.2149047851562,2.224220037460327,4,4,9.54,8.25,181.05
2014-09-22,768.6948852539062,2.2344300746917725,2,7,9.54,8.25,186.49
2014-09-23,766.6849365234375,2.2400801181793213,7,3,9.54,8.25,186.49
2014-09-24,751.926025390625,2.237070083618164,0,9,9.54,8.25,193.15
2014-09-25,745.9030151367188,2.236949920654297,3,7,9.54,8.25,195.04
2014-09-26,746.3200073242188,2.259730100631714,4,6,9.54,8.25,198.06
2014-09-29,746.4530029296875,2.2639598846435547,6,4,9.54,8.25,204.37
2014-09-30,749.3740234375,2.2794299125671387,6,2,9.54,8.25,205.46
2014-10-01,741.5410766601562,2.277780055999756,2,7,8.86,8.25,201.52
2014-10-02,738.5761108398438,2.283220052719116,6,3,8.86,8.25,203.51
2014-10-03,743.8400268554688,2.267270088195801,7,1,8.86,8.25,202.0
2014-10-08,729.43115234375,2.2740700244903564,1,9,8.86,8.25,195.18
